Pond1,Pond2,V1,V2,Resistance,X1,Y1,X2,Y2
NAT-6,31879,46,1402,0.0790253833365797,337405.6563,5026972,337666.748448658,5028540.81541818
NAT-7,31879,47,1402,0.0770881957622872,338364.5,5028036,337666.748448658,5028540.81541818
NAT-9,31879,48,1402,0.0803133285474672,337702.9688,5027617,337666.748448658,5028540.81541818
NAT-11,31879,49,1402,0.0638649739440179,338428.4688,5027688.5,337666.748448658,5028540.81541818
NAT-10,31880,44,1403,0.100945678746748,337577.3438,5027708,335969.954520732,5028648.5456686
NAT-7,31881,47,1404,0.0641629156809378,338364.5,5028036,339767.715270004,5028230.18108497
NAT-11,31881,49,1404,0.0460919816059611,338428.4688,5027688.5,339767.715270004,5028230.18108497
SWF-1220,31894,40,1406,0.0421461641139829,332384.92576937,5030790.98197647,334137.093749029,5030481.37275443
SWF-1220,31898,40,1407,0.0463361518863918,332384.92576937,5030790.98197647,333843.260729517,5030508.3094496
NAT-10,31903,44,1408,0.123887481514886,337577.3438,5027708,336351.593035446,5029046.72499888
NAT-9,31903,48,1408,0.123145111758201,337702.9688,5027617,336351.593035446,5029046.72499888
SWF-1220,31905,40,1409,0.0430659596096277,332384.92576937,5030790.98197647,334169.542126969,5030056.05788698
NAT-10,31909,44,1410,0.069417030271093,337577.3438,5027708,336250.545938999,5027334.33817795
NAT-2,31909,45,1410,0.0698738135274651,337878.25,5027308.5,336250.545938999,5027334.33817795
NAT-6,31909,46,1410,0.0559759229045589,337405.6563,5026972,336250.545938999,5027334.33817795
NAT-9,31909,48,1410,0.068340576528149,337702.9688,5027617,336250.545938999,5027334.33817795
NAT-10,31927,44,1411,0.0823812161683079,337577.3438,5027708,337812.689668233,5027275.19206857
NAT-2,31927,45,1411,0.0519136849308561,337878.25,5027308.5,337812.689668233,5027275.19206857
NAT-6,31927,46,1411,0.0725803338272311,337405.6563,5026972,337812.689668233,5027275.19206857
NAT-7,31927,47,1411,0.0892267583029932,338364.5,5028036,337812.689668233,5027275.19206857
NAT-9,31927,48,1411,0.0764633412019318,337702.9688,5027617,337812.689668233,5027275.19206857
NAT-11,31927,49,1411,0.0693807460383001,338428.4688,5027688.5,337812.689668233,5027275.19206857
NAT-10,31928,44,1412,0.0608996594712369,337577.3438,5027708,337369.959818758,5027280.99288138
NAT-2,31928,45,1412,0.0599120350287933,337878.25,5027308.5,337369.959818758,5027280.99288138
NAT-6,31928,46,1412,0.0453357701668286,337405.6563,5026972,337369.959818758,5027280.99288138
NAT-7,31928,47,1412,0.0728088221538369,338364.5,5028036,337369.959818758,5027280.99288138
NAT-9,31928,48,1412,0.0586775104421547,337702.9688,5027617,337369.959818758,5027280.99288138
NAT-11,31928,49,1412,0.0549486249153699,338428.4688,5027688.5,337369.959818758,5027280.99288138
NAT-7,31929,47,1413,0.0908707110154377,338364.5,5028036,339957.8804,5027303.0665
NAT-11,31929,49,1413,0.0716179366263204,338428.4688,5027688.5,339957.8804,5027303.0665
NAT-10,31958,44,1417,0.119337707073036,337577.3438,5027708,337598.126739666,5028714.26698607
NAT-2,31958,45,1417,0.123048369300183,337878.25,5027308.5,337598.126739666,5028714.26698607
NAT-6,31958,46,1417,0.11535491566889,337405.6563,5026972,337598.126739666,5028714.26698607
NAT-7,31958,47,1417,0.114922347086694,338364.5,5028036,337598.126739666,5028714.26698607
NAT-9,31958,48,1417,0.118984614347257,337702.9688,5027617,337598.126739666,5028714.26698607
NAT-11,31958,49,1417,0.100589723415519,338428.4688,5027688.5,337598.126739666,5028714.26698607
NAT-10,31960,44,1418,0.10567924350712,337577.3438,5027708,336458.403834878,5028750.13913395
NAT-9,31960,48,1418,0.105370160109233,337702.9688,5027617,336458.403834878,5028750.13913395
NAT-10,31966,44,1420,0.114754609485546,337577.3438,5027708,336195.926433334,5028712.83813333
NAT-9,31966,48,1420,0.114046235203959,337702.9688,5027617,336195.926433334,5028712.83813333
NAT-10,31968,44,1421,0.0810214721764866,337577.3438,5027708,336584.452590324,5028670.65976077
NAT-2,31968,45,1421,0.0843183699291732,337878.25,5027308.5,336584.452590324,5028670.65976077
NAT-6,31968,46,1421,0.0736924074608277,337405.6563,5026972,336584.452590324,5028670.65976077
NAT-7,31968,47,1421,0.0818548003029952,338364.5,5028036,336584.452590324,5028670.65976077
NAT-9,31968,48,1421,0.0808854196317322,337702.9688,5027617,336584.452590324,5028670.65976077
NAT-10,31971,44,1422,0.0571981075911796,337577.3438,5027708,338735.095296974,5028523.99887899
NAT-2,31971,45,1422,0.0573831975157038,337878.25,5027308.5,338735.095296974,5028523.99887899
NAT-7,31971,47,1422,0.0477564167716297,338364.5,5028036,338735.095296974,5028523.99887899
NAT-9,31971,48,1422,0.055748344545546,337702.9688,5027617,338735.095296974,5028523.99887899
NAT-11,31971,49,1422,0.0312292108951708,338428.4688,5027688.5,338735.095296974,5028523.99887899
NAT-10,31972,44,1423,0.0845770237875534,337577.3438,5027708,335885.295020638,5028726.62470364
SWF-1220,31998,40,1425,0.0532573980278831,332384.92576937,5030790.98197647,333890.304201923,5030939.84041909
SWF-1220,32011,40,1426,0.0406764052405451,332384.92576937,5030790.98197647,334153.435604951,5030327.57653171
SWF-1220,32013,40,1428,0.037826096771425,332384.92576937,5030790.98197647,334024.703719955,5030338.62240182
SWF-1220,32014,40,1429,0.0274550925822609,332384.92576937,5030790.98197647,333696.624935752,5030342.53839197
SWF-1220,32019,40,1431,0.033965582956595,332384.92576937,5030790.98197647,333783.524071343,5030593.46611781
SWF-1220,32024,40,1432,0.0385438999352957,332384.92576937,5030790.98197647,333941.415084667,5030543.26839329
NAT-10,32038,44,1433,0.0587156177960874,337577.3438,5027708,337915.235390605,5028085.82482354
NAT-2,32038,45,1433,0.0653228225968546,337878.25,5027308.5,337915.235390605,5028085.82482354
NAT-6,32038,46,1433,0.0638021758908826,337405.6563,5026972,337915.235390605,5028085.82482354
NAT-7,32038,47,1433,0.0522598622988914,338364.5,5028036,337915.235390605,5028085.82482354
NAT-9,32038,48,1433,0.0578304214202798,337702.9688,5027617,337915.235390605,5028085.82482354
NAT-11,32038,49,1433,0.0430762877328254,338428.4688,5027688.5,337915.235390605,5028085.82482354
NAT-10,32088,44,1435,0.10648830267541,337577.3438,5027708,336116.437003756,5029004.2382763
NAT-10,32105,44,1436,0.0823612088740702,337577.3438,5027708,336161.412702428,5028055.87943367
NAT-2,32105,45,1436,0.0842218706213942,337878.25,5027308.5,336161.412702428,5028055.87943367
NAT-6,32105,46,1436,0.0718130706972717,337405.6563,5026972,336161.412702428,5028055.87943367
NAT-9,32105,48,1436,0.0817649696283556,337702.9688,5027617,336161.412702428,5028055.87943367
NAT-10,32107,44,1437,0.163938275316002,337577.3438,5027708,338103.716015651,5026896.87415045
NAT-2,32107,45,1437,0.154064722134086,337878.25,5027308.5,338103.716015651,5026896.87415045
NAT-6,32107,46,1437,0.144267167641146,337405.6563,5026972,338103.716015651,5026896.87415045
NAT-7,32107,47,1437,0.163824993378239,338364.5,5028036,338103.716015651,5026896.87415045
NAT-9,32107,48,1437,0.160548826158909,337702.9688,5027617,338103.716015651,5026896.87415045
NAT-11,32107,49,1437,0.142980374143152,338428.4688,5027688.5,338103.716015651,5026896.87415045
NAT-10,32108,44,1438,0.0592377403933946,337577.3438,5027708,336384.65004663,5027173.2400181
NAT-2,32108,45,1438,0.0593241882378315,337878.25,5027308.5,336384.65004663,5027173.2400181
