OBJECTID,X,Y,geometry
28382,383372.0235,5006933.964,383372.023482454|5006933.96401087
28383,345874.7511,4997673.301,345874.75107013|4997673.30111827
28384,376391.3453,4997515.812,376391.34531849|4997515.81227562
28385,366733.2645,5007165.167,366733.264541206|5007165.1667938
28386,375337.657,5008279.616,375337.657033193|5008279.61632731
28387,365212.6631,5008269.619,365212.663071755|5008269.61887595
28388,390674.6419,5008045.383,390674.641891603|5008045.38284615
28389,373148.4282,5008157.321,373148.428174724|5008157.3211831
28390,368689.2834,5008181.638,368689.283357964|5008181.63750788
28391,336140.1007,5008248.959,336140.10072753|5008248.9587906
28392,345148.2735,5008277.309,345148.273450079|5008277.30864461
28393,350869.7723,5008314.923,350869.772290243|5008314.92345636
28394,376443.7711,5008331.635,376443.771080477|5008331.63529598
28395,350969.1061,5008378.233,350969.106146132|5008378.23288703
28396,378437.2126,5000793.746,378437.212603962|5000793.74595718
28397,384937.9416,5000754.705,384937.941610867|5000754.70467676
28398,384582.606,5000728.029,384582.605984122|5000728.02919705
28399,361272.6397,5000445.298,361272.639743676|5000445.29795046
28400,362022.946,5000889.729,362022.945993805|5000889.72895569
28401,342661.5276,5000848.059,342661.527556165|5000848.05852503
28402,378426.7993,5000897.497,378426.799252386|5000897.49734843
28403,344250.3365,5001152.606,344250.336502303|5001152.60609477
28404,376378.9492,5001164.923,376378.949241535|5001164.92348008
28405,346050.3314,5000561.096,346050.331354692|5000561.0964753
28406,378345.4128,5000960.931,378345.412832404|5000960.93078965
28407,348200.7983,5000730.591,348200.798346643|5000730.59115377
28408,342775.4734,5000943.047,342775.473440109|5000943.04656646
28409,372289.2806,5000907.119,372289.280627122|5000907.11899526
28410,381237.3433,5000892.522,381237.34332594|5000892.52198026
28411,346786.2172,5000858.559,346786.217178687|5000858.55893055
28412,343026.1952,5000617.117,343026.195219146|5000617.11668765
28413,358608.6635,5000802.264,358608.663467616|5000802.26406236
28414,347486.4971,5003566.412,347486.497084316|5003566.41183227
28415,378306.8126,5003966.979,378306.812612986|5003966.97930127
28416,345036.2056,5003972.602,345036.205581941|5003972.60219063
28417,355633.1969,4989052.374,355633.19685556|4989052.37433716
28418,355297.6344,4989136.193,355297.634366695|4989136.19332889
28419,364191.854,4989185.883,364191.853956015|4989185.88275604
28420,383165.1757,5003503.788,383165.175692196|5003503.78801748
28421,343943.6243,5003522.679,343943.624272403|5003522.67933627
28422,340077.0569,5005833.209,340077.056879193|5005833.20855257
28423,371547.8934,5003785.571,371547.893388835|5003785.57073968
28424,351727.3634,5004023.127,351727.363374099|5004023.12702391
28425,341491.0321,5004036.931,341491.0321|5004036.93076667
28426,340011.8693,5004062.512,340011.869310074|5004062.51197642
28427,360886.0822,5004040.702,360886.08219928|5004040.70184815
28428,341389.9388,5004047.582,341389.938829035|5004047.58159373
28429,351679.2129,5004067.824,351679.212918352|5004067.82359832
28430,378348.5836,5004046.168,378348.583587845|5004046.16846312
28431,383037.957,5004040.451,383037.956970489|5004040.45103274
28432,351690.3393,5004113.412,351690.339311249|5004113.41225906
28433,351785.5488,5004102.46,351785.548780353|5004102.46033051
28434,340627.2545,5004111.479,340627.254531943|5004111.4785147
28435,371681.7436,5006216.4,371681.743613127|5006216.40032448
28436,375269.1691,5006427.115,375269.169062593|5006427.11476738
28437,385010.8818,5006418.405,385010.881760185|5006418.40471588
28438,375379.0448,5006420.566,375379.044779906|5006420.56577119
28439,380811.6528,5006455.533,380811.652837616|5006455.53258143
28440,365842.7297,5006458.2,365842.729742697|5006458.19980091
28441,379929.2975,5006463.297,379929.297517343|5006463.29687973
28442,355634.3651,4992403.519,355634.365062961|4992403.5193572
28443,375820.8579,5006842.218,375820.857870042|5006842.21769757
28444,348350.3012,5007144.218,348350.30117262|5007144.21801659
28445,340393.1504,5007230.048,340393.150401239|5007230.04771134
28446,383636.2839,5007288.648,383636.283900162|5007288.64767222
