OBJECTID,X,Y,geometry
28831,355843.639242713,4991264.31129405,355843.639242713|4991264.31129405
28833,356126.011453372,4991252.86162445,356126.011453372|4991252.86162445
28835,355467.55574435,4991267.29034686,355467.55574435|4991267.29034686
28837,356517.947760908,4991313.84961022,356517.947760908|4991313.84961022
28939,347682.952927203,5021850.33310569,347682.952927203|5021850.33310569
28941,347602.734559149,5021848.4704105,347602.734559149|5021848.4704105
28942,347303.553927802,5021843.81998868,347303.553927802|5021843.81998868
28946,347045.204391047,5021900.42053867,347045.204391047|5021900.42053867
28947,347548.93382651,5021877.40904269,347548.93382651|5021877.40904269
28949,348820.296916999,5021872.75212775,348820.296916999|5021872.75212775
28956,375990.401080225,5009719.57346227,375990.401080225|5009719.57346227
28967,349173.388302554,5014822.58384884,349173.388302554|5014822.58384884
28968,374309.423367172,5014788.51608173,374309.423367172|5014788.51608173
28973,375650.296642564,5014826.60541895,375650.296642564|5014826.60541895
28983,347613.40911916,5014646.90270748,347613.40911916|5014646.90270748
28984,375182.296179732,5014786.92252998,375182.296179732|5014786.92252998
28988,376582.576786225,5014071.45716166,376582.576786225|5014071.45716166
29001,343147.978685651,5023620.90424233,343147.978685651|5023620.90424233
29011,343130.048179716,5023663.34632128,343130.048179716|5023663.34632128
29024,375140.755851382,5011811.94237374,375140.755851382|5011811.94237374
29049,338210.780203636,5025782.40929144,338210.780203636|5025782.40929144
29053,374960.094180298,5009892.94467353,374960.094180298|5009892.94467353
29057,376731.635028967,5009797.85211285,376731.635028967|5009797.85211285
29060,375067.30349264,5011964.13097626,375067.30349264|5011964.13097626
29066,348304.387107762,5012122.79788959,348304.387107762|5012122.79788959
29069,375315.6109,5014925.11016667,375315.6109|5014925.11016667
29087,375208.567502259,5014989.93518865,375208.567502259|5014989.93518865
29090,374138.454209634,5015002.99602577,374138.454209634|5015002.99602577
29091,374998.485879533,5015053.80020857,374998.485879533|5015053.80020857
29108,346481.180556921,5015124.75888957,346481.180556921|5015124.75888957
29127,349317.049424776,5019144.1908554,349317.049424776|5019144.1908554
29136,365574.045000252,5019535.97392608,365574.045000252|5019535.97392608
29137,354177.019246902,5019559.48729228,354177.019246902|5019559.48729228
29144,348073.996267389,5011745.71522648,348073.996267389|5011745.71522648
29148,374978.042654844,5010129.76584953,374978.042654844|5010129.76584953
29168,340138.612786912,5024687.49239307,340138.612786912|5024687.49239307
